Our Order id 103553	 passtype order	 session g32sgj795sni8g4klupq134q76	 timestamp 20111128095537	 Result 00	 Order id 20111128095537-563	 message APPROVAL	 authcode 449243	 pasref 13224740083652	 md5 202c5d9690e3198a14b3b09d521ec71f
Our Order id 103591	 passtype order	 session 3il3193og4cbv4ej32lba56tr0	 timestamp 20111128114215	 Result 00	 Order id 20111128114215-475	 message APPROVAL	 authcode 768254	 pasref 13224804233928	 md5 6d80da33397c6931ff90027554696813
Our Order id 103724	 passtype order	 session 390pnacn8kasl210uk7po21an2	 timestamp 20111128210748	 Result 00	 Order id 20111128210748-60	 message APPROVAL	 authcode 084747	 pasref 13225143773712	 md5 e37bd6b4c2521a8a67b8d1d75ed60a07
Our Order id 103728	 passtype order	 session dj2g9foj6o9cab92j46ua1q7r5	 timestamp 20111128211820	 Result 00	 Order id 20111128211820-370	 message APPROVAL	 authcode 055610	 pasref 13225151333660	 md5 af018e124fc32699ba6348d6220590d2
Our Order id 103730	 passtype order	 session k4dooqunbfrsjufgv6qm3s4es3	 timestamp 20111128212114	 Result 00	 Order id 20111128212114-865	 message APPROVAL	 authcode 086147	 pasref 13225151956660	 md5 292a96fa5b95fb19ae28fd0794765a4b
Our Order id 103836	 passtype order	 session l0big7776q2c6isd16hv0q0me5	 timestamp 20111129121403	 Result 00	 Order id 20111129121403-426	 message APPROVAL	 authcode 044618	 pasref 13225687107884	 md5 0dd4c62dacc608b6505045edad080ded
Our Order id 103941	 passtype order	 session j9op1b62pa0dm2qenrdut26be6	 timestamp 20111129193101	 Result 00	 Order id 20111129193101-418	 message APPROVAL	 authcode 025854	 pasref 13225949367408	 md5 ee7c1733009749aa745927660f0fb0d8
Our Order id 103963	 passtype order	 session tlbssarrqrjgvk9pftjihka842	 timestamp 20111129213008	 Result 00	 Order id 20111129213008-640	 message APPROVAL	 authcode 025912	 pasref 13226021935376	 md5 bdc19273d414f8d8041dd0df4cae11e8
Our Order id 103967	 passtype order	 session jlflmcq5qgfmtcijr73ppelol5	 timestamp 20111129221849	 Result 00	 Order id 20111129221849-777	 message APPROVAL	 authcode 032132	 pasref 13226052687548	 md5 87e4ff2471d98c5eac5b7a08b443b528
Our Order id 103970	 passtype order	 session d56t1a0pgcie41vl8l7ovpvg74	 timestamp 20111129223450	 Result 00	 Order id 20111129223450-980	 message APPROVAL	 authcode 098036	 pasref 13226060087708	 md5 16dd18075ea6f6cf15d37d96c104be09
Our Order id 103972	 passtype order	 session 8vh8ipbgrr2ur1u5gkoak01326	 timestamp 20111129232302	 Result 101	 Order id 20111129232302-646	 message DECLINED	 authcode 	 pasref 13226089416764	 md5 5bf1d89c78824d4a5528202abadb75f6
Our Order id 104012	 passtype order	 session 8bch2glsb2oi6j5qk9l1j8pkb4	 timestamp 20111130101638	 Result 00	 Order id 20111130101638-438	 message APPROVAL	 authcode 023978	 pasref 13226480535064	 md5 b7a635446f8dbcb8b9316f889c2b7a4e
Our Order id 104025	 passtype order	 session n5riom84q46pabomf0lf3j2as1	 timestamp 20111130104539	 Result 00	 Order id 20111130104539-560	 message APPROVAL	 authcode 096432	 pasref 13226498016748	 md5 f2f68cc1bc19e627162fed74bfc22ce8
Our Order id 104074	 passtype order	 session ctvbp4i0c6qtoassj8atgph3g1	 timestamp 20111130133014	 Result 00	 Order id 20111130133014-44	 message APPROVAL	 authcode 024022	 pasref 13226596664072	 md5 d48023daa327c059159e6641376b707b
Our Order id 104076	 passtype order	 session bkt0lami530co2a04cgvu3jih4	 timestamp 20111130134558	 Result 00	 Order id 20111130134558-830	 message APPROVAL	 authcode 029054	 pasref 13226606706496	 md5 2485ef60a148639c9a43ddcfdec581ca
Our Order id 104090	 passtype order	 session rujppg4h8f8uag2elu04mdvh15	 timestamp 20111130143728	 Result 00	 Order id 20111130143728-908	 message APPROVAL	 authcode 088103	 pasref 13226637877548	 md5 318f151fb467818916c914e28d8480b3
Our Order id 104105	 passtype order	 session kbr4dd233msnr1173onrgv79j3	 timestamp 20111130152659	 Result 00	 Order id 20111130152659-405	 message APPROVAL	 authcode 025541	 pasref 13226666825536	 md5 aaaa8db7fc5dafdb07fa5d088e2af818
Our Order id 104108	 passtype order	 session mkathtk11og9i9d1e423vgv6h3	 timestamp 20111130160010	 Result 00	 Order id 20111130160010-657	 message APPROVAL	 authcode 059006	 pasref 13226687197784	 md5 755d7e06821f6cb82957edddde75efd7
