"Product Id","Product Name","Short Description","Main Description Filename","Tab Titles"
"548751","Simply Chocolate Frappe Mix 1.75 KG","Now One Of Our Best Selling Frappe Mixes - A New Launch Last Year And Already A Storming Chocolate Tasting Success - 1.75 Kg","548751_maindesc.txt",""
"547454","Simply Chestnut Praline Syrup - 1 Litre","Delicious, luxury chestnut praline syrup for lattes, coffees, teas, milkshakes, smoothies and desserts.","547454_maindesc.txt",""
"547588","Simply Toasted Marshmallow Syrup - 1 Litre","This delicious, marshmallowy and full or aroma toasted marshmallow syrup is ideal for your cocoa, mocha, coffee or dessert.","547588_maindesc.txt",""
"536666","Twinings Green Tea & Salted Caramel","Twinings Salted Caramel Indulgence Green Envelope Teas","536666_maindesc.txt",""
"550032","Lavazza Blue Capsules - Ricco x 100","A dense, rich espresso with a chocolatey flavour, excellent body and lingering aftertaste.","550032_maindesc.txt",""
"548752","Simply Coffee Frappe Mix 1.75 KG","Now One Of Our Best Selling Frappe Mixes - A New Launch Last Year And Already A Storming Coffee Tasting Success - 1.75 Kg","548752_maindesc.txt",""
"551034","PureGusto Bulletproof Mycotoxin Free Coffee","Master Roasters PureGusto have done it again! Bulletproof Optimised / Upgraded Coffee Beans Lab Tested for BOTH Pesticides + Mycotoxins + Ochratoxins - Super Clean Coffee!","551034_maindesc.txt",""
"538586","Aromo - KENYAN - 62mm Senseo Compatible Coffee Pods","Aromo - Kenyan - 62mm Senseo Compatible Coffee Pods X 100 - Senseo ® Coffee Pods Machines","538586_maindesc.txt",""
"551099","Olympia Pump Action Airpot 2.5Ltr","A great value pump action airpot constructed in unbreakable stainless steel.","551099_maindesc.txt",""
"547333","Sweetbird Strawberry Syrup - 1 Litre","That familiar summer flavour, full of sweet juiciness. Try it with white chocolate and you won’t be disappointed....Vegetarian Suitable Strawberry Coffee Syrup","547333_maindesc.txt",""
"547416","SIMPLY Raspberry Fruit Puree - 1 Litre","SIMPLY Raspberry Fruit Pur&#65533;e adds irresistible raspberry flavor and aroma to lemonades, teas, smoothies, cocktails, and more.","547416_maindesc.txt",""
"540952","Birchall Green Tea Prism Tea Bags","Our Green Tea Is A Pure Green Tea Sourced From China Where The Very Best Teas Of This Variety Are To Be Found. For Centuries These Teas Have Been Revered Across The Far East For Their Therapeutic Properties.","540952_maindesc.txt",""
"548551","Twinings  Strawberry & Cucumber SuperBlend Tea Bags","Strawberry and Cucumber Flavoured Herbal Infusion with Green Tea, Aloe Vera and added Biotin.","548551_maindesc.txt",""
"548552","Twinings MATCHA SuperBlend Tea Bags","Cranberry & Lime flavoured Green Tea with Matcha and added Manganese.","548552_maindesc.txt",""
"531608","Twinings Traditional English Breakfast Tea","Twinings Traditional English Breakfast Tea - The Benchmark Speciality Tea From Twinings. Available With Or Without An Envelope.","531608_maindesc.txt",""
"551226","Simply Cloudy Rhubarb Lemonade Syrup - 1 Litre","This Cloudy Rhubarb Lemonade Syrup is a refreshing and easy drink to create for your customers, just add water.","551226_maindesc.txt",""
"551433","Lavazza Aroma Piu Coffee Beans 6KG","The Aroma Piu coffee by Lavazza is a blend of Arabica and Robusta of various origins.","551433_maindesc.txt",""
"551235","Shmoo Chocolate Mint MilkShake Mix 1.8 KG","Dinkum Chocolate Mint Milkshake Mix Powder","551235_maindesc.txt",""
"549080","Aromo ESE Coffee Pods - Buzz - French Roast x 100 Pods","Everyday Espresso Coffee: Espresso Addict ‘caffeine candy’ Choose this because you want the verve of Naples and the vivacity of Milan","549080_maindesc.txt",""
"549081","Aromo ESE Coffee Pods - Buzz Lite - DECAF French Roast x 100 Pods","A golden clear liquor and luxuriant crema – Not just for Girls. Choose this because looks can be deceiving!","549081_maindesc.txt",""
"548720","Birchall Loose Leaf Tea - Virunga Chai 125g","Our Virunga Chai is a powerful interpretation of a classic Indian tea, carefully crafted by the fifth generation of Birchall Graham’s family. Virunga Chai infuses the brightness and vitality of a supreme African black tea,","548720_maindesc.txt",""
