"Manufacturer part code","Long Description (used in Web & AMO)","Website Image Link 1","Website Image Link 2","Website Image Link 3","Website Image Link 4","Website Image Link 5",,,
"TRP-CV10","1160mm Fixed Channel Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-03.jpg",,,,,
"TRP-CV11","1100mm Foldable Channel Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-05.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-03.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-04.jpg",,,,
"TRP-CV15","1500mm Foldable Channel Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-05.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-03.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-04.jpg",,,,
"TRP-CV20","2000mm Foldable Channel Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-05.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-03.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-04.jpg",,,,
"TRP-CE2","2120mm Foldable Channel Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-05.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-03.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-04.jpg",,,,
"TRP-CU2","2030mm Telescopic 2-part Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-03.jpg",,,,,
"TRP-CU2/3","2000mm Telescopic 3-part Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-03.jpg",,,,,
"TRP-CU3","2900mm Telescopic 3-part Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-03.jpg",,,,,
"TRP-CV30","2100mm Foldable and Telescopic Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-03.jpg",,,,,
"TRP-CE2/3","2770mm Foldable and Telescopic Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-03.jpg",,,,,
