Old comb Id,New comb Id,Image id
173177,199444,0
173178,199445,0
173179,199446,0
173180,199447,0
173181,199448,0
173182,199449,0
173183,199450,0
173184,199451,0
173185,199452,0
173186,199453,0
173187,199454,0
173188,199455,0
173189,199456,0
173190,199457,0
173191,199458,0
173192,199459,0
173193,199460,0
173194,199461,0
173195,199462,0
173196,199463,0
173197,199464,0
173198,199465,0
173199,199466,0
173200,199467,0
173201,199468,0
173202,199469,0
173203,199470,0
173204,199471,0
173205,199472,0
173206,199473,0
173207,199474,0
173208,199475,0
173209,199476,0
173210,199477,0
173211,199478,0
173212,199479,0
173213,199480,0
173214,199481,0
173215,199482,0
173216,199483,0
173217,199484,0
173218,199485,0
173219,199486,0
173220,199487,0
173221,199488,0
173222,199489,0
173223,199490,0
173224,199491,0
173225,199492,0
173226,199493,0
173227,199494,0
173228,199495,0
173229,199496,0
173230,199497,0
173231,199498,0
173232,199499,0
173233,199500,0
173234,199501,0
173235,199502,0
173236,199503,0
173237,199504,0
173238,199505,0
173239,199506,0
173240,199507,0
173241,199508,0
173242,199509,0
173243,199510,0
173244,199511,0
173245,199512,0
173246,199513,0
173247,199514,0
173248,199515,0
173249,199516,0
173250,199517,0
173251,199518,0
173252,199519,0
173253,199520,0
173254,199521,0
173255,199522,0
173256,199523,0
173257,199524,0
173258,199525,0
173259,199526,0
173260,199527,0
173261,199528,0
173262,199529,0
173263,199530,0
173264,199531,0
173265,199532,0
173266,199533,0
173267,199534,0
173268,199535,0
173269,199536,0
173270,199537,0
173271,199538,0
173272,199539,0
173273,199540,0
173274,199541,0
173275,199542,0
173276,199543,0
173277,199544,0
173278,199545,0
173279,199546,0
173280,199547,0
173281,199548,0
173282,199549,0
173283,199550,0
173284,199551,0
173285,199552,0
173286,199553,0
173287,199554,0
173288,199555,0
173289,199556,0
173290,199557,0
173291,199558,0
173292,199559,0
173293,199560,0
173294,199561,0
173295,199562,0
173296,199563,0
173297,199564,0
173298,199565,0
173299,199566,0
173300,199567,0
173301,199568,0
173302,199569,0
173303,199570,0
173304,199571,0
173305,199572,0
173306,199573,0
173307,199574,0
173308,199575,0
173309,199576,0
173310,199577,0
173311,199578,0
173312,199579,0
173313,199580,0
173314,199581,0
173315,199582,0
173316,199583,0
173317,199584,0
173318,199585,0
173319,199586,0
173320,199587,0
173321,199588,0
173322,199589,0
173323,199590,0
173324,199591,0
173325,199592,0
173326,199593,0
173327,199594,0
173328,199595,0
173329,199596,0
173330,199597,0
173331,199598,0
173332,199599,0
173333,199600,0
173334,199601,0
173335,199602,0
173336,199603,0
173337,199604,0
173338,199605,0
173339,199606,0
173340,199607,0
173341,199608,0
173342,199609,0
173343,199610,0
173344,199611,0
173345,199612,0
173346,199613,0
173347,199614,0
173348,199615,0
173349,199616,0
173350,199617,0
173351,199618,0
173352,199619,0
173353,199620,0
173354,199621,0
173355,199622,0
173356,199623,0
173357,199624,0
173358,199625,0
173359,199626,0
173360,199627,0
173361,199628,0
173362,199629,0
173363,199630,0
173364,199631,0
173365,199632,0
173366,199633,0
173367,199634,0
173368,199635,0
173369,199636,0
173370,199637,0
173371,199638,0
173372,199639,0
173373,199640,0
40145,199641,0
40146,199642,0
40147,199643,0
40128,199644,0
40129,199645,0
40130,199646,0
40131,199647,0
40132,199648,0
47438,199649,0
47439,199650,0
47442,199651,0
47443,199652,0
47446,199653,0
47447,199654,0
47450,199655,0
47451,199656,0
58837,199657,0
58839,199658,0
58841,199659,0
58843,199660,0
99295,199661,0
99296,199662,0
99297,199663,0
99298,199664,0
99299,199665,0
99300,199666,0
99301,199667,0
99302,199668,0
99303,199669,0
99304,199670,0
99305,199671,0
