"Product Id","Product Name","Var Id","Var Name","Var Value Id","Var Value","Old Price","New Price","Status"
"532638","Pride Go Go ES8 Travel Mobility Scooter","165310","Scooter Starter Pack","713915","Yes","66.99","79.99","-- Updated --"
"532639","Pride Colt Sport Mobility Scooter","165644","Scooter Starter Pack","714747","Yes","66.99","79.99","-- Updated --"
"534849","Invacare Comet","165611","Scooter Starter Pack","714666","Yes","66.99","79.99","-- Updated --"
"532685","Shoprider Roma Perrero","165680","Scooter Starter Pack","714837","Yes","66.99","79.99","-- Updated --"
"532706","Sterling Little Star","165430","Scooter Starter Pack","714215","Yes","66.99","79.99","-- Updated --"
"532715","Drive Mercury GT","165587","Scooter Starter Pack","714606","Yes","66.99","79.99","-- Updated --"
"532721","Days Strider ST2 Mobility Scooter","165322","Scooter Starter Pack","713945","Yes","59.99","79.99","-- Updated --"
"532726","Drive Cobra Road Mobility Scooter","166942","Scooter Starter Pack","718880","Yes","66.99","79.99","-- Updated --"
"532734","Rascal 388 XL","165526","Scooter Starter Pack","714455","Yes","66.99","79.99","-- Updated --"
"532747","Drive Sport Rider","165599","Scooter Starter Pack","714636","Yes","66.99","79.99","-- Updated --"
"532751","Drive Mercury Prism 3 Mini Mobility Scooter","165330","Scooter Starter Pack","713965","Yes","66.99","79.99","-- Updated --"
"532764","Roma Torino Mobility Scooter","165664","Scooter Starter Pack","714797","Yes","66.99","79.99","-- Updated --"
"532817","Pride Go Go Elite Traveller LX 12 AMP","165370","Scooter Starter Pack","714065","Yes","66.99","79.99","-- Updated --"
"532841","Rascal Pioneer 329 LE Bariatric Scooter","165652","Scooter Starter Pack","714767","Yes","66.99","79.99","-- Updated --"
"532865","Rascal Liteway 6 Travel Mobility Scooter","165342","Scooter Starter Pack","713995","Yes","59.99","79.99","-- Updated --"
"532911","Rascal 388 S Mobility Scooter","165522","Scooter Starter Pack","714445","Yes","66.99","79.99","-- Updated --"
"534851","Rascal 309 Frontier Mobility Scooter","165648","Scooter Starter Pack","714757","Yes","66.99","79.99","-- Updated --"
"532983","Pride GOGO Elite Traveller Mobility Scooter","172156","Scooter Starter Pack","742774","Yes","66.99","79.99","-- Updated --"
"533012","Electric Mobility Liteway 8mph mobility scooter","165603","Scooter Starter Pack","714646","Yes","66.99","79.99","-- Updated --"
